date,mktcap,vol,open_price,close_price
2021-10-01,965832.0,20702.0,0.01347498,0.01917251
2021-09-30,1210426.0,19827.99,0.01693518,0.01347498
2021-09-29,1126143.0,17081.05,0.0156863,0.01693518
2021-09-28,1057090.0,18843.01,0.01469065,0.0156863
2021-09-27,975043.0,17030.67,0.01342465,0.01469065
2021-09-26,882467.0,12667.84,0.01232277,0.01342465
2021-09-25,1068411.0,13938.0,0.01488993,0.01232277
2021-09-24,1011731.0,15241.3,0.01417201,0.01488993
2021-09-23,1155061.0,12919.34,0.01612927,0.01417201
2021-09-22,939154.0,11600.34,0.01311434,0.01612927
2021-09-21,956019.0,23379.0,0.01338138,0.01311434
2021-09-20,842410.0,17943.69,0.01180058,0.01338138
2021-09-19,1133339.0,22307.0,0.01580631,0.01180058
2021-09-18,873889.0,14442.68,0.01221037,0.01580631
2021-09-17,998732.0,15232.04,0.01393275,0.01221037
2021-09-16,1041332.0,19682.77,0.01454116,0.01393275
2021-09-15,1235393.0,29053.0,0.01725102,0.01454116
2021-09-14,1365857.0,14876.78,0.01908398,0.01725102
2021-09-13,1393040.0,20703.0,0.01937524,0.01908398
2021-09-12,1009138.0,10276.67,0.01415184,0.01937524
2021-09-11,1213338.0,23194.0,0.01694085,0.01415184
2021-09-10,1151374.0,26704.0,0.01607778,0.01694085
2021-09-09,1208263.0,30017.0,0.01680725,0.01607778
2021-09-08,1309100.0,27186.0,0.01836631,0.01680725
2021-09-07,1136896.0,26068.0,0.01589464,0.01836631
2021-09-06,1125172.0,18355.39,0.01565034,0.01589464
2021-09-05,1314584.0,15834.53,0.01836585,0.01565034
2021-09-04,1373868.0,23156.0,0.01925194,0.01836585
2021-09-03,1382934.0,16670.39,0.01933703,0.01925194
2021-09-02,1278755.0,24678.0,0.01787552,0.01933703
2021-09-01,886257.0,17669.19,0.01211818,0.01787552
2021-08-31,1378072.0,21430.0,0.01920079,0.01211818
2021-08-30,894672.0,15690.81,0.01247401,0.01920079
2021-08-29,1045435.0,19493.65,0.01461555,0.01247401
2021-08-28,1040061.0,12442.09,0.01476125,0.01461555
2021-08-27,1249822.0,18080.21,0.01326146,0.01476125
2021-08-26,1160035.0,24700.0,0.01620638,0.01326146
2021-08-25,1302434.0,22634.0,0.01811448,0.01620638
2021-08-24,868535.0,18303.29,0.01213291,0.01811448
2021-08-23,1246638.0,18575.47,0.01739827,0.01213291
2021-08-22,1364882.0,21992.0,0.0190089,0.01739827
2021-08-21,1146267.0,15260.44,0.01604039,0.0190089
2021-08-20,996723.0,23435.0,0.01414206,0.01604039
2021-08-19,1244587.0,35891.0,0.01737941,0.01414206
2021-08-18,1148834.0,13911.77,0.01604231,0.01737941
2021-08-17,1095858.0,25861.0,0.01523792,0.01604231
2021-08-16,800752.0,24362.0,0.01119185,0.01523792
2021-08-15,829381.0,15329.01,0.01185325,0.01119185
2021-08-14,951943.0,16159.57,0.01329292,0.01185325
2021-08-13,861308.0,13440.02,0.01207763,0.01329292
2021-08-12,847318.0,15036.64,0.01183194,0.01207763
2021-08-11,1632208.0,1629.08,0.02270781,0.01183194
2021-08-10,904311.0,7459.57,0.01340171,0.02270781
2021-08-09,881481.0,23083.0,0.01221397,0.01340171
2021-08-08,1134497.0,4955.62,0.01597196,0.01221397
2021-08-07,959449.0,5938.68,0.01339774,0.01597196
2021-08-06,1470002.0,1538.26,0.02053392,0.01339774
2021-08-05,801572.0,6474.96,0.01110247,0.02053392
2021-08-04,663577.0,14684.94,0.00925528,0.01110247
2021-08-03,682233.0,15096.04,0.00953339,0.00925528
2021-08-02,687087.0,17582.11,0.00953954,0.00953339
2021-08-01,788636.0,18510.52,0.01099662,0.00953954
2021-07-31,665743.0,17750.22,0.00935437,0.01099662
2021-07-30,748213.0,21011.0,0.01040411,0.00935437
2021-07-29,622501.0,15898.59,0.00869179,0.01040411
2021-07-28,752401.0,22546.0,0.01049374,0.00869179
2021-07-27,721738.0,11118.41,0.01005569,0.01049374
2021-07-26,710186.0,15382.76,0.00991704,0.01005569
2021-07-25,680857.0,12203.24,0.00952391,0.00991704
2021-07-24,725350.0,10811.43,0.01018515,0.00952391
2021-07-23,654081.0,15963.81,0.00914754,0.01018515
2021-07-22,799966.0,14957.96,0.01176566,0.00914754
2021-07-21,530264.0,7589.78,0.00740178,0.01176566
2021-07-20,848806.0,13831.42,0.01186412,0.00740178
2021-07-19,730648.0,10375.76,0.01021925,0.01186412
2021-07-18,766205.0,11845.77,0.01068344,0.01021925
2021-07-17,767527.0,10182.87,0.01066016,0.01068344
2021-07-16,836493.0,12386.94,0.01162997,0.01066016
2021-07-15,817895.0,15707.54,0.01139831,0.01162997
2021-07-14,832650.0,16446.56,0.01162712,0.01139831
2021-07-13,820205.0,8463.31,0.01144706,0.01162712
2021-07-12,859654.0,11921.17,0.01201115,0.01144706
2021-07-11,929003.0,21078.0,0.01390881,0.01201115
2021-07-10,881966.0,9520.59,0.01230154,0.01390881
2021-07-09,819858.0,19790.27,0.01148137,0.01230154
2021-07-08,748112.0,13357.95,0.01041327,0.01148137
2021-07-07,1013937.0,23077.0,0.01415861,0.01041327
2021-07-06,1011972.0,18602.11,0.01406512,0.01415861
2021-07-05,1029836.0,14825.8,0.01439341,0.01406512
2021-07-04,813909.0,9648.4,0.01146974,0.01439341
2021-07-03,1119164.0,1214.15,0.01559299,0.01146974
2021-07-02,1000463.0,3631.49,0.01399789,0.01559299
2021-07-01,1020627.0,9699.89,0.01433849,0.01399789
2021-06-30,1041352.0,17206.61,0.01452378,0.01433849
2021-06-29,991089.0,15193.24,0.01387116,0.01452378
2021-06-28,712759.0,15524.96,0.00995834,0.01387116
2021-06-27,728884.0,9045.64,0.00847362,0.00995834
2021-06-26,714295.0,16791.51,0.01003301,0.00847362
2021-06-25,758513.0,8811.97,0.01056124,0.01003301
2021-06-24,849817.0,17379.42,0.01195665,0.01056124
2021-06-23,741652.0,12115.67,0.01036101,0.01195665
