date,mktcap,vol,open_price,close_price
2021-10-04,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-10-03,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-10-02,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-10-01,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-09-30,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-09-29,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-09-28,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-09-27,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-09-26,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-09-25,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-09-24,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-09-23,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-09-22,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-09-21,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-09-20,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-09-19,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-09-04,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-09-03,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-09-02,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-09-01,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-31,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-30,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-29,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-28,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-27,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-26,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-25,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-24,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-23,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-22,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-21,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-20,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-19,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-18,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-17,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-16,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-15,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-14,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-13,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-12,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-11,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-10,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-09,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-08,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-07,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-06,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-05,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-04,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-03,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-02,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-08-01,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-07-31,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-07-30,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-07-29,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-07-28,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-07-27,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-07-26,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-07-25,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-07-24,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-07-23,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-07-22,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-07-21,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-07-20,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-07-19,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-07-18,0.00001785,0.000000000000,0.000000000000,0.000000000000
2021-07-17,0.00001785,0.000000000000,0.000000000000,0.000000000000
